Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Tata Coffee Ltd.,Tatacoffee,Fast Moving Consumer Goods,Eq,193.9,199.0,192.25,193.9,198.25,4.35,2.24,568731.0,111198285.1,254.4,178.6,3.33,-6.58
Tata Communications Ltd.,Tatacomm,Telecommunication,Eq,917.45,937.4,908.9,914.25,931.0,16.75,1.83,283046.0,261489216.6,1591.95,856.25,-28.97,-7.19
Tata Consumer Products Ltd.,Tataconsum,Fast Moving Consumer Goods,Eq,700.0,722.95,697.0,706.35,721.5,15.15,2.14,954981.0,679086989.1,889.0,650.2,-6.37,-7.03
Tata Investment Corporation Ltd.,Tatainvest,Financial Services,Eq,1343.5,1343.5,1331.0,1342.15,1340.0,-2.15,-0.16,8592.0,11485270.08,1733.9,1118.0,18.73,-12.22
Tata Motors Ltd Dvr,Tatamtrdvr,Automobile And Auto Components,Eq,197.7,198.65,192.0,197.8,198.25,0.45,0.23,1610634.0,314927266.0,298.65,129.15,27.45,-7.16
Tata Steel Long Products Ltd.,Tatastllp,Capital Goods,Eq,575.0,582.95,564.7,575.6,581.0,5.4,0.94,10870.0,6187856.2,1173.0,534.0,-11.06,-12.96
Tci Express Ltd.,Tciexp,Services,Eq,1580.0,1624.85,1580.0,1594.4,1590.25,-4.15,-0.26,31026.0,49884223.32,2572.0,1280.0,10.8,-1.5
Tcns Clothing Co. Ltd.,Tcnsbrands,Textiles,Eq,537.0,543.7,526.9,530.8,537.0,6.2,1.17,20185.0,10831069.15,932.0,494.1,-8.98,-10.98
Tech Mahindra Ltd.,Techm,Information Technology,Eq,997.0,1014.0,989.3,1000.0,1011.25,11.25,1.13,1842102.0,1848880935.0,1838.0,943.7,-8.71,-15.27
Thyrocare Technologies Ltd.,Thyrocare,Healthcare,Eq,622.9,627.0,613.2,621.05,617.8,-3.25,-0.52,33220.0,20545573.4,1374.9,613.2,-52.69,-5.85
Torrent Power Ltd.,Torntpower,Power,Eq,451.0,460.6,449.4,451.65,460.6,8.95,1.98,220456.0,100386844.2,606.55,415.25,-1.84,-0.96
Trent Ltd.,Trent,Consumer Services,Eq,1074.15,1088.1,1059.1,1074.15,1078.0,3.85,0.36,555368.0,595593304.2,1346.85,838.0,26.39,-4.44
Trident Ltd.,Trident,Textiles,Eq,38.65,38.8,37.65,38.7,38.2,-0.5,-1.29,2633568.0,100365276.5,70.35,16.3,136.7,-18.87
Triveni Turbine Ltd.,Triturbine,Capital Goods,Eq,154.15,157.65,154.05,156.35,156.6,0.25,0.16,126459.0,19678284.99,231.7,107.1,26.8,-8.19
Triveni Engineering & Industries Ltd.,Triveni,Fast Moving Consumer Goods,Eq,237.0,237.0,225.7,236.45,229.7,-6.75,-2.85,543017.0,124758155.8,374.5,159.45,22.77,-19.19
Ttk Prestige Ltd.,Ttkprestig,Consumer Durables,Eq,828.0,833.4,816.95,830.75,830.0,-0.75,-0.09,17948.0,14811048.56,1264.65,744.7,-91.14,-0.14
Tata Teleservices (Maharashtra) Ltd.,Ttml,Telecommunication,Eq,121.4,122.7,118.5,121.1,119.4,-1.7,-1.4,2252618.0,269660900.8,290.15,32.75,-11.06,-3.43
Tvs Motor Company Ltd.,Tvsmotor,Automobile And Auto Components,Eq,837.5,886.3,827.3,841.95,836.05,-5.9,-0.7,3263584.0,2765887440.0,886.3,495.0,35.69,14.31
United Breweries Ltd.,Ubl,Fast Moving Consumer Goods,Eq,1453.8,1509.0,1440.0,1452.8,1501.95,49.15,3.38,174055.0,256786822.6,1785.8,1274.5,0.45,-5.81
Uco Bank,Ucobank,Financial Services,Eq,11.0,11.2,10.75,10.95,11.05,0.1,0.91,1157345.0,12707648.1,15.9,10.55,-27.96,-5.6
Uflex Ltd.,Uflex,Capital Goods,Eq,580.6,583.0,568.05,580.6,579.0,-1.6,-0.28,59052.0,34016314.08,719.0,427.0,2.08,-5.34
Union Bank Of India,Unionbank,Financial Services,Eq,34.4,34.65,34.0,34.25,34.55,0.3,0.88,2376699.0,81520775.7,54.8,32.7,-11.15,-9.51
Upl Ltd.,Upl,Chemicals,Eq,630.0,646.0,621.95,632.4,642.85,10.45,1.65,3575548.0,2276015079.0,852.4,607.5,-20.24,-18.88
Uti Asset Management Company Ltd.,Utiamc,Financial Services,Eq,643.0,643.0,628.05,645.9,640.0,-5.9,-0.91,46115.0,29270573.95,1216.2,595.0,-24.34,-5.71
Vaibhav Global Ltd.,Vaibhavgbl,Consumer Services,Eq,301.0,306.95,287.9,299.9,303.0,3.1,1.03,131705.0,39561547.9,860.0,287.9,-62.43,-10.68
Vakrangee Ltd.,Vakrangee,Information Technology,Eq,26.75,27.5,26.15,26.75,26.7,-0.05,-0.19,2363491.0,62963400.24,47.2,23.55,-35.93,-6.47
Varroc Engineering Ltd.,Varroc,Automobile And Auto Components,Eq,300.5,307.45,295.1,299.7,305.1,5.4,1.8,134195.0,40414166.2,493.85,260.0,-18.37,-12.87
Varun Beverages Ltd.,Vbl,Fast Moving Consumer Goods,Eq,790.0,809.0,786.2,790.55,790.0,-0.55,-0.07,951574.0,759584429.8,809.0,472.67,8.35,-25.17
V-Guard Industries Ltd.,Vguard,Consumer Durables,Eq,224.2,226.75,217.1,225.2,218.5,-6.7,-2.98,212688.0,47031697.44,274.8,181.0,-15.07,-3.88
Vijaya Diagnostic Centre Ltd.,Vijaya,Healthcare,Eq,333.2,361.0,331.55,333.2,351.25,18.05,5.42,203583.0,71673430.98,672.0,295.0,-11.06,-8.26
V.I.P. Industries Ltd.,Vipind,Consumer Durables,Eq,626.5,631.8,606.4,626.5,618.9,-7.6,-1.21,125113.0,77473722.99,774.6,374.0,56.41,8.04
Voltas Ltd.,Voltas,Consumer Durables,Eq,949.8,969.65,938.1,972.4,959.0,-13.4,-1.38,1129398.0,1079952956.0,1356.9,922.55,-4.9,-4.48
Vardhman Textiles Ltd.,Vtl,Textiles,Eq,265.45,273.25,262.1,265.05,272.95,7.9,2.98,431463.0,115235138.0,2880.0,245.5,-80.62,-7.58
Welspun Corp Ltd.,Welcorp,Capital Goods,Eq,217.0,221.55,213.1,218.85,214.65,-4.2,-1.92,880477.0,190852194.5,250.65,105.85,52.94,-3.29
Welspun India Ltd.,Welspunind,Textiles,Eq,69.6,70.4,68.15,69.45,69.9,0.45,0.65,1174496.0,81275123.2,170.7,62.2,-27.96,6.27
Westlife Development Ltd.,Westlife,Consumer Services,Eq,498.0,508.0,490.05,497.3,491.0,-6.3,-1.27,50304.0,25038816.0,629.0,402.3,-0.46,9.25
Whirlpool Of India Ltd.,Whirlpool,Consumer Durables,Eq,1552.0,1579.8,1538.5,1560.85,1560.0,-0.85,-0.05,62441.0,97504743.55,2550.0,1365.1,-30.18,-4.9
Wockhardt Ltd.,Wockpharma,Healthcare,Eq,206.95,208.8,205.15,208.55,207.0,-1.55,-0.74,375081.0,77671773.48,592.0,205.15,-59.74,-19.34
Zee Entertainment Enterprises Ltd.,Zeel,Media Entertainment & Publication,Eq,213.0,215.85,210.6,214.1,215.5,1.4,0.65,4131369.0,880807870.8,378.7,166.8,-0.3,-15.33
Zensar Technolgies Ltd.,Zensartech,Information Technology,Eq,273.15,273.55,268.4,272.1,270.0,-2.1,-0.77,186578.0,50467483.22,587.0,246.65,-12.61,-11.02
Zydus Lifesciences Ltd.,Zyduslife,Healthcare,Eq,356.9,364.05,354.3,357.0,364.0,7.0,1.96,862373.0,310014469.8,651.9,319.0,-11.06,-5.64
Zydus Wellness Ltd.,Zyduswell,Fast Moving Consumer Goods,Eq,1635.0,1635.0,1605.0,1636.85,1627.0,-9.85,-0.6,10803.0,17495674.56,2476.85,1430.0,-22.08,6.25
